Time;channel_11;channel_12;channel_13;channel_14;channel_15;channel_16;channel_17;channel_18;channel_19;channel_20;channel_21;channel_22;channel_23;channel_24;channel_25;channel_26
2016-08-08T17:49:00.370Z;-73;-95;-91;-100;-97;-99;-95;-90;-95;-99;-97;-100;-92;-94;-100;-95
2016-08-08T17:49:03.018Z;-74;-90;-95;-90;-96;-96;-88;-88;-94;-100;-94;-89;-95;-96;-99;-98
2016-08-08T17:49:05.667Z;-69;-78;-82;-90;-93;-90;-89;-93;-94;-101;-98;-95;-95;-101;-101;-100
2016-08-08T17:49:08.315Z;-69;-70;-86;-95;-89;-85;-84;-81;-89;-100;-99;-95;-97;-99;-99;-98
2016-08-08T17:49:10.963Z;-69;-85;-84;-95;-97;-94;-97;-89;-92;-99;-96;-99;-94;-96;-100;-99
2016-08-08T17:49:13.613Z;-69;-83;-82;-94;-95;-95;-83;-98;-99;-101;-100;-93;-97;-95;-100;-100
2016-08-08T17:49:16.261Z;-68;-53;-61;-88;-93;-95;-88;-96;-95;-93;-100;-100;-97;-98;-99;-99
2016-08-08T17:49:18.910Z;-73;-96;-74;-90;-92;-92;-90;-95;-95;-101;-97;-97;-97;-99;-99;-98
2016-08-08T17:49:21.558Z;-69;-80;-82;-83;-98;-93;-95;-99;-95;-98;-100;-92;-96;-98;-101;-99
2016-08-08T17:49:24.207Z;-78;-93;-88;-95;-101;-98;-98;-95;-89;-98;-99;-100;-98;-96;-100;-98
2016-08-08T17:49:26.855Z;-76;-91;-95;-93;-98;-87;-94;-99;-96;-102;-99;-99;-98;-100;-100;-96
2016-08-08T17:49:29.504Z;-71;-85;-79;-93;-94;-98;-92;-91;-96;-101;-92;-100;-96;-100;-101;-99
2016-08-08T17:49:32.152Z;-67;-70;-54;-86;-87;-92;-92;-93;-85;-98;-99;-94;-97;-98;-101;-98
2016-08-08T17:49:34.800Z;-68;-87;-84;-95;-98;-90;-90;-100;-97;-101;-94;-95;-91;-98;-100;-97
2016-08-08T17:49:37.449Z;-69;-82;-75;-90;-99;-98;-92;-95;-88;-100;-96;-96;-92;-98;-100;-99
2016-08-08T17:49:40.098Z;-78;-81;-90;-85;-93;-99;-94;-99;-96;-99;-100;-98;-98;-100;-100;-99
2016-08-08T17:49:42.747Z;-79;-84;-74;-92;-90;-94;-89;-99;-90;-96;-97;-97;-97;-100;-98;-100
2016-08-08T17:49:45.395Z;-73;-77;-71;-93;-97;-97;-98;-85;-100;-101;-101;-96;-97;-98;-101;-100
2016-08-08T17:49:48.044Z;-74;-95;-84;-93;-101;-100;-100;-95;-95;-96;-100;-99;-97;-95;-101;-98
2016-08-08T17:49:50.692Z;-72;-82;-81;-87;-100;-100;-87;-95;-93;-100;-97;-96;-96;-98;-101;-95
2016-08-08T17:49:53.342Z;-75;-89;-74;-83;-89;-92;-86;-85;-94;-98;-93;-92;-95;-100;-100;-100
2016-08-08T17:49:55.989Z;-72;-80;-84;-88;-88;-75;-97;-96;-93;-97;-97;-93;-95;-101;-100;-98
2016-08-08T17:49:58.638Z;-75;-82;-84;-93;-97;-95;-90;-87;-95;-100;-101;-97;-92;-98;-100;-97
2016-08-08T17:50:01.286Z;-74;-77;-87;-90;-96;-81;-85;-96;-94;-96;-99;-99;-98;-98;-100;-100
2016-08-08T17:50:03.935Z;-69;-79;-92;-89;-96;-99;-99;-97;-99;-101;-95;-97;-99;-99;-99;-96
2016-08-08T17:50:06.583Z;-69;-91;-64;-85;-92;-92;-88;-85;-96;-100;-98;-97;-94;-99;-99;-100
2016-08-08T17:50:09.232Z;-64;-69;-87;-93;-99;-98;-97;-99;-93;-98;-99;-93;-92;-99;-99;-98
2016-08-08T17:50:11.880Z;-70;-85;-94;-96;-100;-87;-92;-94;-93;-101;-98;-96;-95;-99;-101;-99
2016-08-08T17:50:14.528Z;-71;-78;-80;-91;-95;-99;-92;-83;-90;-99;-100;-99;-93;-99;-98;-97
2016-08-08T17:50:17.177Z;-69;-59;-75;-88;-94;-98;-98;-94;-90;-98;-94;-94;-93;-99;-99;-100
2016-08-08T17:50:19.826Z;-76;-80;-62;-86;-95;-87;-94;-97;-95;-101;-100;-94;-96;-101;-101;-101
2016-08-08T17:50:22.475Z;-76;-75;-75;-96;-97;-97;-100;-94;-96;-101;-100;-96;-95;-98;-100;-95
2016-08-08T17:50:25.123Z;-72;-72;-79;-88;-98;-97;-96;-97;-96;-99;-99;-98;-98;-96;-101;-95
2016-08-08T17:50:27.772Z;-69;-77;-71;-95;-97;-97;-93;-91;-100;-99;-101;-98;-100;-99;-100;-98
2016-08-08T17:50:30.419Z;-72;-91;-84;-98;-89;-97;-97;-95;-97;-100;-94;-97;-97;-97;-100;-97
2016-08-08T17:50:33.068Z;-70;-88;-66;-85;-94;-98;-91;-98;-98;-99;-97;-95;-91;-96;-99;-99
2016-08-08T17:50:35.717Z;-74;-89;-89;-93;-99;-93;-82;-89;-98;-101;-99;-99;-96;-97;-100;-99
2016-08-08T17:50:38.365Z;-74;-78;-82;-88;-98;-91;-87;-95;-95;-98;-99;-99;-98;-100;-99;-99
2016-08-08T17:50:41.014Z;-72;-87;-84;-89;-94;-93;-85;-97;-99;-102;-95;-93;-96;-99;-100;-97
2016-08-08T17:50:43.663Z;-70;-82;-90;-93;-97;-95;-97;-95;-94;-98;-99;-95;-99;-97;-96;-100
2016-08-08T17:50:46.311Z;-67;-76;-80;-92;-100;-97;-99;-97;-93;-100;-100;-99;-96;-97;-99;-93
2016-08-08T17:50:48.959Z;-69;-76;-97;-87;-88;-94;-93;-100;-98;-101;-98;-95;-97;-99;-101;-95
2016-08-08T17:50:51.608Z;-66;-80;-77;-93;-78;-91;-84;-89;-91;-101;-98;-99;-97;-100;-101;-98
2016-08-08T17:50:54.256Z;-70;-76;-86;-90;-92;-97;-98;-98;-91;-98;-91;-96;-99;-100;-100;-100
2016-08-08T17:50:56.904Z;-68;-93;-84;-94;-98;-91;-98;-91;-97;-101;-97;-94;-96;-100;-101;-99
2016-08-08T17:50:59.554Z;-65;-55;-73;-98;-97;-85;-90;-88;-95;-101;-100;-100;-98;-98;-101;-100
2016-08-08T17:51:02.202Z;-69;-90;-94;-92;-95;-101;-95;-96;-94;-100;-100;-99;-98;-101;-100;-98
2016-08-08T17:51:04.850Z;-65;-83;-86;-92;-96;-90;-92;-95;-98;-102;-97;-98;-95;-98;-101;-99
2016-08-08T17:51:07.499Z;-68;-92;-92;-87;-94;-98;-84;-90;-96;-99;-99;-97;-99;-100;-100;-98
2016-08-08T17:51:10.148Z;-73;-82;-81;-93;-95;-96;-93;-98;-98;-98;-97;-99;-93;-99;-99;-99
2016-08-08T17:51:12.796Z;-68;-89;-84;-90;-99;-98;-91;-98;-100;-102;-100;-98;-95;-97;-101;-101
