"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DIGIKEY";"MANUFACTURER";"MOUSER";"MPN";"RICHARDSON_RFPD";
"R17";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R18";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R19";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R20";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R21";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R22";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R23";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R24";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R25";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R26";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R27";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R28";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R29";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R30";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R31";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R32";"12k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"RHM12.0KCDCT-ND";"Rohm";"";"MCR01MRTF1202";"";
"R33";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R34";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R35";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R36";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R37";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R38";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R39";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R40";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
